"","pid","trial","datetime","type","item","exposure_time","use","react_(clear)","react_angry","react_disgust","react_heart","react_laugh","react_like","react_sad","react_surprise","react","share","comment","comment_made"
"158","14139670",14,"25/09/2025 12:16:57","filler","pizza",5485.60000000001,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"159","14139670",15,"25/09/2025 12:16:59","filler","nasa",1977.49999995233,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"160","14139670",16,"25/09/2025 12:17:01","filler","starwars",1741.39999995232,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"161","14139671",1,"25/09/2025 12:15:43","filler","nasa",22849.5,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"162","14139671",2,"25/09/2025 12:16:00","filler","jewellery",17066.799999857,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"163","14139671",3,"25/09/2025 12:18:16","filler","yacht",136305.999999952,FALSE,0,0,0,0,0,0,0,0,0,0,NA,0
"164","14139671",4,"25/09/2025 12:19:07","filler","natgeo",50892.2000000477,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"165","14139671",5,"25/09/2025 12:19:36","filler","lyrics",29280.9999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"166","14139671",6,"25/09/2025 12:19:57","filler","starwars",20933.2,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"167","14139671",7,"25/09/2025 12:20:26","filler","fish",28712.2,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"168","14139671",8,"25/09/2025 12:20:58","trees","trees",32316.3,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"169","14139671",9,"25/09/2025 12:21:15","filler","pizza",16993.3999998569,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"170","14139671",10,"25/09/2025 12:21:37","filler","avocado",21336.9,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"171","14139671",11,"25/09/2025 12:21:57","filler","washpo",20676.3,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"172","14139671",12,"25/09/2025 12:22:38","filler","swaps",40472.9999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"173","14139671",13,"25/09/2025 12:22:53","filler","beckham",14958.599999857,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"174","14139671",14,"25/09/2025 12:23:06","filler","train",13881,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
